Municipality,Population,Surface_km2,Latitude,Longitude
Abbasanta,2579.0,39.85,40.126752,8.818027
Aggius,1409.0,86.31,40.9293453,9.0652223
Aglientu,1154.0,148.19,41.079573,9.112719
Aidomaggiore,398.0,41.21,40.170753,8.856527
Albagiara,246.0,8.87,39.787646,8.862032
Ales,1285.0,22.45,39.768245,8.815632
Alghero,42352.0,225.4,40.5587291,8.3153206
Allai,355.0,27.36,39.957173,8.8630765
Alà dei Sardi,1764.0,197.99,40.650066,9.327829
Anela,584.0,36.89,40.44176,9.057427
Arborea,3758.0,94.96,39.7738457,8.5817533
Arbus,5869.0,269.12,39.525839,8.597831
Ardara,736.0,38.19,40.621761,8.810319
Ardauli,782.0,20.53,40.084652,8.911529
Aritzo,1223.0,75.58,39.9567774,9.1965625
Armungia,424.0,54.75,39.521745,9.381846
Arzachena,13331.0,230.85,41.0808915,9.4279079
Arzana,2255.0,162.49,39.9194634,9.5270001
Assemini,25944.0,118.17,39.291538,9.001542
Assolo,348.0,16.37,39.809947,8.918233
Asuni,311.0,21.34,39.872448,8.946433
Atzara,1018.0,35.92,39.992252,9.075734
Austis,767.0,50.81,40.070653,9.087933
Badesi,1825.0,58.75,40.965069,8.884216
Ballao,731.0,46.63,39.549746,9.361545
Banari,533.0,21.25,40.5729271,8.6973713
Baradili,75.0,5.57,39.721345,8.897434
Baratili San Pietro,1206.0,6.1,39.9928313,8.5557841
Baressa,566.0,12.51,39.712745,8.875334
Bari Sardo,3830.0,37.43,39.842053,9.644147
Barrali,1094.0,11.23,39.4752889,9.1012726
Barumini,1178.0,26.4,39.701546,9.002736
Bauladu,649.0,24.22,40.020549,8.671925
Baunei,3442.0,211.9,40.0323613,9.6634049
Belvì,560.0,18.1,39.9626011,9.1851848
Benetutti,1704.0,94.45,40.456461,9.168829
Berchidda,2630.0,201.88,40.784067,9.164524
Bessude,391.0,26.79,40.553852,8.7299524
Bidonì,127.0,11.72,40.113053,8.936429
Birori,500.0,17.33,40.2648596,8.8174739
Bitti,2597.0,215.37,40.4790079,9.3840378
Bolotana,2403.0,108.44,40.325757,8.961127
Bonarcado,1503.0,28.41,40.09585,8.657124
Bonnanaro,930.0,21.84,40.533359,8.76442
Bono,3331.0,74.54,40.4168302,9.0299928
Bonorva,3211.0,149.75,40.418757,8.768121
Boroneddu,154.0,4.59,40.113052,8.871028
